ewas_beta,ewas_p,clpm_beta,clpm_p,converged,sign_opposite
-0.43285136921671,8.86392099651692e-05,0.341467387652641,1.99954941493274e-10,TRUE,TRUE
-0.513366173783338,2.25273358497711e-06,0.218869605078977,6.25349908740525e-05,TRUE,TRUE
-0.347152701035915,0.00183453731843963,0.266107828754247,0.000127331280627141,TRUE,TRUE
-0.533850455069589,3.25748251443167e-05,0.320884342468646,4.23288071260686e-11,TRUE,TRUE
-0.522464523644199,8.87296617801462e-06,0.302339478464386,9.02202135222296e-09,TRUE,TRUE
-0.101324548348677,0.377880737429191,0.193892006609606,0.00112454470931445,TRUE,TRUE
-0.501728460814595,0.000155078525996851,0.344610573240554,2.21831442104303e-11,TRUE,TRUE
-0.560277338177897,1.02903397394837e-05,0.364379566546508,6.31228402880879e-12,TRUE,TRUE
-0.5521999091972,0.000293186922836298,0.321241430331706,1.32385213902353e-11,TRUE,TRUE
-0.311667920009146,0.00646025545113857,0.300193498650365,4.00408505685235e-07,TRUE,TRUE
-0.349956767849982,0.00558805363154673,0.267106235145525,9.84745111631824e-06,TRUE,TRUE
-0.61900225386028,8.13748479012006e-06,0.32209378093729,6.86295464902287e-12,TRUE,TRUE
-0.464027467043975,0.0012851696826561,0.221454192820942,1.65419960584945e-05,TRUE,TRUE
-0.513145003084331,0.000182873240466499,0.368047667179024,1.84940951442059e-12,TRUE,TRUE
-0.723159190801919,2.64750976144819e-06,0.283120103215848,8.27564905492295e-10,TRUE,TRUE
-0.596204050051066,2.91206609137628e-08,0.483022443768757,0,TRUE,TRUE
-0.583114255063781,0.000277316343205739,0.203491407911088,4.85070897449091e-07,TRUE,TRUE
-0.680300624850554,2.39737322994745e-07,0.391622592951097,5.32907051820075e-15,TRUE,TRUE
-0.308871820002551,0.0111489405476827,0.321645371388289,7.71431758472829e-08,TRUE,TRUE
-0.572738334702199,0.000130690405751298,0.291060463421608,3.62921714902598e-09,TRUE,TRUE
-0.398456465915408,0.000853778377860659,0.265964241162309,8.2686844911084e-06,TRUE,TRUE
-0.394353185783058,0.00245196027402026,0.312373599126128,9.49693612639635e-08,TRUE,TRUE
-0.473380347446341,0.000754372920937163,0.269228083992922,3.96034383065569e-08,TRUE,TRUE
-0.632945206519427,1.7629669181612e-05,0.283181638844383,6.62825350161711e-12,TRUE,TRUE
-0.283270260481044,0.0403404726870644,0.237825039491058,5.33039635541854e-06,TRUE,TRUE
-0.383031893674352,0.00203867293053546,0.259260031651248,4.72264343742701e-06,TRUE,TRUE
-0.427604244842427,0.00638992967869795,0.277791427244619,3.27915916642496e-10,TRUE,TRUE
-0.518206244900982,3.97465879744329e-05,0.259217030031826,6.41710855564526e-07,TRUE,TRUE
-0.531102719181858,0.000675327237973004,0.228040140269242,1.56570773257592e-06,TRUE,TRUE
-0.473305721423884,0.000383933486232394,0.231219836939659,1.33999627727199e-06,TRUE,TRUE
-0.280336921329246,0.035099709319475,0.274297444735222,4.60809439051246e-07,TRUE,TRUE
-0.404728645748422,0.0026176810190401,0.274183398737185,3.50402352466972e-07,TRUE,TRUE
-0.276815292106841,0.052500897016529,0.254929500782138,4.03447528318779e-06,TRUE,TRUE
-0.473451259023921,3.79371858427071e-05,0.341545490690964,2.24648877278355e-09,TRUE,TRUE
-0.425483974420784,0.00288144394217637,0.269623469390711,3.99348734969607e-07,TRUE,TRUE
-0.634197805869819,1.33284408885575e-05,0.295771152664457,1.13528186851397e-09,TRUE,TRUE
-0.474519825106453,0.00154918136474007,0.269251318018769,4.66211873551004e-08,TRUE,TRUE
-0.458271411974777,9.51299736281806e-05,0.366931325241788,6.43699538116493e-10,TRUE,TRUE
-0.324423522548965,0.0113456915028221,0.360276856030166,1.01268105012764e-10,TRUE,TRUE
-0.399204923596467,0.00089276860316092,0.315158030794323,5.0508028692775e-07,TRUE,TRUE
-0.568454996502251,1.8004555965974e-07,0.439058508683028,3.99680288865056e-15,TRUE,TRUE
-0.402365266871126,0.00466611390015253,0.188551829749621,0.00061543689094723,TRUE,TRUE
-0.545801189544238,5.61544826372782e-05,0.347997787127196,1.77835524084458e-12,TRUE,TRUE
-0.414647741544821,0.00393308781830553,0.290322204862935,2.10352245844092e-07,TRUE,TRUE
-0.394515675655935,0.000661915015382758,0.445514540255845,0,TRUE,TRUE
-0.423202429860593,0.00116737161869086,0.326905807795353,2.00609041600686e-07,TRUE,TRUE
-0.606064073427142,5.92857776150185e-06,0.309657551674436,1.21749055281839e-10,TRUE,TRUE
-0.470728063662368,0.000318007084703192,0.28292778709425,3.52727899111116e-07,TRUE,TRUE
-0.204114579909693,0.1004909152205,0.244152609171131,3.09378672060934e-05,TRUE,TRUE
